,Name,Score,gene_names,DESeq2_Appeared,DESeq2_Validated,Wilcox_Appeared,Wilcox_Validated,uniprot,Prot_Evidence
ENSG00000073331,ENSG00000073331,0.035462715095473,ALPK1,FALSE,TRUE,TRUE,TRUE,Q96QP1,FALSE
ENSG00000105609,ENSG00000105609,0.0358952956451549,LILRB5,TRUE,TRUE,FALSE,FALSE,O75023,FALSE
ENSG00000141934,ENSG00000141934,0.0363063688195765,PLPP2,FALSE,TRUE,TRUE,TRUE,O43688,FALSE
ENSG00000187474,ENSG00000187474,0.0363303477817429,FPR3,TRUE,TRUE,FALSE,FALSE,P25089,FALSE
ENSG00000053918,ENSG00000053918,0.0372488986477133,KCNQ1,FALSE,TRUE,FALSE,TRUE,P51787,FALSE
ENSG00000009790,ENSG00000009790,0.0376503066035505,TRAF3IP3,TRUE,TRUE,FALSE,FALSE,Q9Y228,FALSE
ENSG00000150337,ENSG00000150337,0.0393310682103885,FCGR1A,TRUE,TRUE,FALSE,FALSE,P12314,FALSE
ENSG00000164221,ENSG00000164221,0.040816210431725,CCDC112,FALSE,TRUE,TRUE,TRUE,Q8NEF3,FALSE
ENSG00000163485,ENSG00000163485,0.0408258814892795,ADORA1,TRUE,TRUE,FALSE,FALSE,P30542,FALSE
ENSG00000095303,ENSG00000095303,0.0415614491227674,PTGS1,FALSE,TRUE,FALSE,FALSE,P23219,FALSE
ENSG00000126858,ENSG00000126858,0.042679077836756,RHOT1,FALSE,FALSE,TRUE,TRUE,Q8IXI2,FALSE
ENSG00000187912,ENSG00000187912,0.0429041552660892,CLEC17A,TRUE,TRUE,FALSE,FALSE,Q6ZS10,FALSE
ENSG00000018236,ENSG00000018236,0.0431156040349676,CNTN1,TRUE,TRUE,FALSE,FALSE,Q12860,TRUE
ENSG00000005961,ENSG00000005961,0.0436251084904014,ITGA2B,TRUE,TRUE,FALSE,FALSE,P08514,FALSE
ENSG00000166111,ENSG00000166111,0.0436251084904014,SVOP,TRUE,TRUE,FALSE,FALSE,Q8N4V2,FALSE
ENSG00000114812,ENSG00000114812,0.0440567524317914,VIPR1,FALSE,TRUE,TRUE,TRUE,P32241,FALSE
ENSG00000275302,ENSG00000275302,0.0441827898689236,CCL4,FALSE,TRUE,FALSE,FALSE,P13236,FALSE
ENSG00000171302,ENSG00000171302,0.0450623400178581,CANT1,FALSE,TRUE,TRUE,TRUE,Q8WVQ1,FALSE
ENSG00000102524,ENSG00000102524,0.0455462559027605,TNFSF13B,TRUE,TRUE,FALSE,FALSE,Q9Y275,FALSE
ENSG00000196083,ENSG00000196083,0.0455462559027605,IL1RAP,FALSE,TRUE,TRUE,TRUE,Q9NPH3,FALSE
ENSG00000149294,ENSG00000149294,0.0457048354302768,NCAM1,FALSE,TRUE,FALSE,FALSE,P13591,TRUE
ENSG00000111817,ENSG00000111817,0.0460325866577702,DSE,FALSE,TRUE,TRUE,TRUE,Q9UL01,FALSE
ENSG00000160886,ENSG00000160886,0.0460325866577702,LY6K,TRUE,TRUE,FALSE,FALSE,Q17RY6,FALSE
ENSG00000135917,ENSG00000135917,0.046589329534464,SLC19A3,FALSE,TRUE,FALSE,FALSE,Q9BZV2,FALSE
ENSG00000177030,ENSG00000177030,0.0470124820229407,DEAF1,FALSE,FALSE,TRUE,TRUE,O75398,FALSE
ENSG00000181631,ENSG00000181631,0.0470124820229407,P2RY13,TRUE,TRUE,FALSE,FALSE,Q9BPV8,FALSE
ENSG00000079215,ENSG00000079215,0.0471623439807642,SLC1A3,TRUE,TRUE,FALSE,FALSE,P43003,TRUE
