"","Name","Score","gene_names"
"ENSG00000151834","ENSG00000151834",0.017840676108461,"GABRA2"
"ENSG00000170571","ENSG00000170571",0.0182579842325655,"EMB"
"ENSG00000152954","ENSG00000152954",0.0186825707834939,"NRSN1"
"ENSG00000146477","ENSG00000146477",0.019114519903744,"SLC22A3"
"ENSG00000258227","ENSG00000258227",0.019114519903744,"CLEC5A"
"ENSG00000163873","ENSG00000163873",0.0195539162193914,"GRIK3"
"ENSG00000166928","ENSG00000166928",0.019776433653366,"MS4A14"
"ENSG00000158220","ENSG00000158220",0.0200008448400894,"ESYT3"
"ENSG00000168350","ENSG00000168350",0.0202271604938272,"DEGS2"
"ENSG00000185559","ENSG00000185559",0.0206855482105265,"DLK1"
"ENSG00000197471","ENSG00000197471",0.0206950045498528,"SPN"
"ENSG00000150471","ENSG00000150471",0.0207834463547453,"ADGRL3"
"ENSG00000112414","ENSG00000112414",0.0213876828826817,"ADGRG6"
"ENSG00000173391","ENSG00000173391",0.021625652030606,"OLR1"
"ENSG00000185565","ENSG00000185565",0.0218656014916649,"LSAMP"
"ENSG00000064270","ENSG00000064270",0.0220149664848599,"ATP2C2"
"ENSG00000139044","ENSG00000139044",0.022107542221913,"B4GALNT3"
"ENSG00000167614","ENSG00000167614",0.022107542221913,"TTYH1"
"ENSG00000104381","ENSG00000104381",0.022597441465312,"GDAP1"
"ENSG00000166523","ENSG00000166523",0.022597441465312,"CLEC4E"
"ENSG00000171631","ENSG00000171631",0.0228454220416899,"P2RY6"
"ENSG00000163519","ENSG00000163519",0.0228454220416899,"TRAT1"
"ENSG00000162747","ENSG00000162747",0.0228454220416899,"FCGR3B"
"ENSG00000163534","ENSG00000163534",0.0233475004885465,"FCRL1"
"ENSG00000137463","ENSG00000137463",0.0236016206035936,"MGARP"
"ENSG00000189143","ENSG00000189143",0.0238427996210837,"CLDN4"
"ENSG00000149418","ENSG00000149418",0.0238427996210837,"ST14"
"ENSG00000174123","ENSG00000174123",0.0238427996210837,"TLR10"
"ENSG00000203710","ENSG00000203710",0.0241160784550236,"CR1"
"ENSG00000135472","ENSG00000135472",0.0243764386173166,"FAIM2"
"ENSG00000111058","ENSG00000111058",0.0246389012716408,"ACSS3"
"ENSG00000110079","ENSG00000110079",0.0249034777065104,"MS4A4A"
"ENSG00000184185","ENSG00000184185",0.0249034777065104,"KCNJ12"
"ENSG00000112195","ENSG00000112195",0.0251701792406628,"TREML2"
"ENSG00000111452","ENSG00000111452",0.025710003032885,"ADGRD1"
"ENSG00000271079","ENSG00000271079",0.0262584638026801,"CTAGE15"
"ENSG00000197977","ENSG00000197977",0.0262584638026801,"ELOVL2"
"ENSG00000196581","ENSG00000196581",0.0262584638026801,"AJAP1"
"ENSG00000171310","ENSG00000171310",0.0265359616721373,"CHST11"
"ENSG00000137648","ENSG00000137648",0.0272025136258445,"TMPRSS4"
