"","Name","Score","gene_names","Validated","uniprot"
"ENSG00000084628","ENSG00000084628",0.0249465641643344,"NKAIN1",TRUE,"Q4KMZ8"
"ENSG00000008277","ENSG00000008277",0.0261112292013557,"ADAM22",TRUE,"Q9P0K1"
"ENSG00000143297","ENSG00000143297",0.0269024338399405,"FCRL5",FALSE,"Q96RD9"
"ENSG00000100867","ENSG00000100867",0.0289321099183996,"DHRS2",TRUE,"Q13268"
"ENSG00000100678","ENSG00000100678",0.0297646461425822,"SLC8A3",TRUE,"P57103"
"ENSG00000088053","ENSG00000088053",0.0301853426388446,"GP6",TRUE,"Q9HCN6"
"ENSG00000105642","ENSG00000105642",0.0306089913912212,"KCNN1",TRUE,"Q92952"
"ENSG00000130208","ENSG00000130208",0.0310355923997119,"APOC1",TRUE,"A0A024R0T8"
"ENSG00000161944","ENSG00000161944",0.0310355923997119,"ASGR2",FALSE,"P07307"
"ENSG00000111452","ENSG00000111452",0.0332128812838771,"ADGRD1",TRUE,"Q6QNK2"
"ENSG00000145416","ENSG00000145416",0.0336571958290526,"MARCHF1",FALSE,"A8K0Z6"
"ENSG00000204655","ENSG00000204655",0.0341044626303421,"MOG",TRUE,"Q16653"
"ENSG00000162728","ENSG00000162728",0.0345546816877458,"KCNJ9",FALSE,"Q92806"
"ENSG00000101489","ENSG00000101489",0.0354639765708955,"CELF4",FALSE,"Q9BZC1"
"ENSG00000095932","ENSG00000095932",0.0354639765708955,"SMIM24",FALSE,"O75264"
"ENSG00000112053","ENSG00000112053",0.0359230523966415,"SLC26A8",FALSE,"A0A024RCV0"
"ENSG00000166523","ENSG00000166523",0.0377888782607669,"CLEC4E",TRUE,"Q9ULY5"
"ENSG00000095970","ENSG00000095970",0.0382627153670835,"TREM2",FALSE,"Q9NZC2"
"ENSG00000162747","ENSG00000162747",0.0387395047295143,"FCGR3B",TRUE,"O75015"
"ENSG00000183317","ENSG00000183317",0.0397019402227182,"EPHA10",FALSE,"Q4G0R4"
"ENSG00000162738","ENSG00000162738",0.041024550961845,"VANGL2",TRUE,"A8K4L6"
"ENSG00000018236","ENSG00000018236",0.04116773538338,"CNTN1",TRUE,"Q12860"
"ENSG00000150625","ENSG00000150625",0.0416622382824955,"GPM6A",TRUE,"P51674"
"ENSG00000150637","ENSG00000150637",0.0421596934377251,"CD226",FALSE,"Q15762"
"ENSG00000112414","ENSG00000112414",0.0426601008490689,"ADGRG6",FALSE,"Q86SQ4"
"ENSG00000166428","ENSG00000166428",0.0431634605165267,"PLD4",TRUE,"B4DI07"
"ENSG00000096996","ENSG00000096996",0.0436697724400987,"IL12RB1",TRUE,"P42701"
"ENSG00000146839","ENSG00000146839",0.0441790366197849,"ZAN",FALSE,"A0A087WU49"
"ENSG00000146477","ENSG00000146477",0.0457245426955279,"SLC22A3",FALSE,"O75751"
"ENSG00000153012","ENSG00000153012",0.0467696413599273,"LGI2",FALSE,"Q8N0V4"
"ENSG00000205045","ENSG00000205045",0.0472966190762981,"SLFN12L",TRUE,"Q6IEE8"
"ENSG00000153563","ENSG00000153563",0.0483594312773822,"CD8A",TRUE,"P01732"
"ENSG00000152092","ENSG00000152092",0.0494340525029227,"ASTN1",TRUE,"B1AJS1"
"ENSG00000121895","ENSG00000121895",0.0494340525029227,"TMEM156",TRUE,"Q8N614"
"ENSG00000109956","ENSG00000109956",0.0499757914998642,"B3GAT1",TRUE,"Q9P2W7"
"ENSG00000177098","ENSG00000177098",0.0499757914998642,"SCN4B",FALSE,"Q8IWT1"
